きゅうじん	求人	求: 500, 人: 500, 求: 500
いま	今	今: 500, 今: 500
きょう	今日	今: 500, 日: 500, 今: 500
こんげつ	今月	今: 500, 月: 500, 今: 500
こんかい	今回	今: 500, 回: 500, 今: 500
いままで	今まで	今: 500, 今: 500
いますぐ	今すぐ	今: 500, 今: 500
こんや	今夜	今: 500, 夜: 500, 今: 500
ことし	今年	今: 500, 年: 500, 今: 500
こんしゅう	今週	今: 500, 週: 1000, 今: 500
こんど	今度	今: 500, 度: 500, 今: 500
けさ	今朝	今: 500, 朝: 500, 今: 500
しかた	仕方	仕: 500, 方: 500, 仕: 500
しぐさ	仕草	仕: 500, 草: 1000, 仕: 500
しかたがない	仕方がない	仕: 500, 方: 500, 仕: 500
つける	付ける	付: 500, 付: 500
きをつけて	気を付けて	気: 500, 付: 500, 気: 500
つく	付く	付: 500, 付: 500
みつける	見付ける	見: 500, 付: 500, 見: 500
ふきん	付近	付: 500, 近: 500, 付: 500
かおつき	顔付き	顔: 1000, 付: 500, 顔: 1000
なげつける	投げ付ける	投: 500, 付: 500, 投: 500
かわる	代わる	代: 500, 代: 500
だいよう	代用	代: 500, 用: 500, 代: 500
かわり	代わり	代: 500, 代: 500
かえる	代える	代: 500, 代: 500
じだい	時代	時: 500, 代: 500, 時: 500
いがい	以外	以: 500, 外: 500, 以: 500
いぜん	以前	以: 500, 前: 500, 以: 500
いご	以後	以: 500, 後: 500, 以: 500
たいかい	大会	大: 500, 会: 500, 大: 500
あう	会う	会: 500, 会: 500
かいしゃ	会社	会: 500, 社: 500, 会: 500
かい	会	会: 500, 会: 500
しゃかい	社会	社: 500, 会: 500, 社: 500
かいわ	会話	会: 500, 話: 500, 会: 500
であう	出会う	出: 500, 会: 500, 出: 500
すむ	住む	住: 500, 住: 500
じゅうしょ	住所	住: 500, 所: 500, 住: 500
じゅうみん	住民	住: 500, 民: 500, 住: 500
からだ	体	体: 500, 体: 500
たいりょく	体力	体: 500, 力: 500, 体: 500
たいない	体内	体: 500, 内: 500, 体: 500
だいたい	大体	大: 500, 体: 500, 大: 500
したい	死体	死: 500, 体: 500, 死: 500
せんたい	船体	船: 1000, 体: 500, 船: 1000
しんたい	身体	身: 500, 体: 500, 身: 500
たいじゅう	体重	体: 500, 重: 500, 体: 500
たいけん	体験	体: 500, 験: 500, 体: 500
なんぜん	何千	何: 500, 千: 500, 何: 500
なに	何	何: 500, 何: 500
なんがつ	何月	何: 500, 月: 500, 何: 500
なんにち	何日	何: 500, 日: 500, 何: 500
なんねん	何年	何: 500, 年: 500, 何: 500
なんかい	何回	何: 500, 回: 500, 何: 500
なんじ	何時	何: 500, 時: 500, 何: 500
なんど	何度	何: 500, 度: 500, 何: 500
つくる	作る	作: 500, 作: 500
さくぶん	作文	作: 500, 文: 500, 作: 500
さよう	作用	作: 500, 用: 500, 作: 500
こうさく	工作	工: 500, 作: 500, 工: 500
たいさく	大作	大: 500, 作: 500, 大: 500
さっか	作家	作: 500, 家: 500, 作: 500
てづくり	手作り	手: 500, 作: 500, 手: 500
つくりかた	作り方	作: 500, 方: 500, 作: 500
さくしゃ	作者	作: 500, 者: 500, 作: 500
さぎょう	作業	作: 500, 業: 500, 作: 500
つかう	使う	使: 500, 使: 500
てんし	天使	天: 1000, 使: 500, 天: 1000
しよう	使用	使: 500, 用: 500, 使: 500
ほじ	保持	保: 500, 持: 500, 保: 500
せいほ	生保	生: 500, 保: 500, 生: 500
たもつ	保つ	保: 500, 保: 500
もと	元	元: 500, 元: 500
げんき	元気	元: 500, 気: 500, 元: 500
まず	先ず	先: 500, 先: 500
さき	先	先: 500, 先: 500
せんせんげつ	先々月	先: 500, 月: 500, 先: 500
せんげつ	先月	先: 500, 月: 500, 先: 500
せんじつ	先日	先: 500, 日: 500, 先: 500
せんせい	先生	先: 500, 生: 500, 先: 500
せんしゅう	先週	先: 500, 週: 1000, 先: 500
さきまわり	先回り	先: 500, 回: 500, 先: 500
はいる	入る	入: 500, 入: 500
いれる	入れる	入: 500, 入: 500
