"がわ";側;"がわ:kun, そば:kun, そく:on"
"せき";席;"せき:on"
"はい";敗;"はい:on, やぶ:kun"
"か";果;"か:on, くだ:kun, は:kun"
"いん";因;"いん:on, よ:kun"
"じょう";常;"じょう:on, つね:kun"
"しき";識;"しき:on"
"ひ";非;"ひ:on"
"かん";官;"かん:on"
"さつ";察;"さつ:on"
"あい";愛;"あい:on, まな:kun"
"けい";警;"けい:on"
"かく";覚;"かく:on, おぼ:kun, さ:kun"
"せつ";説;"せつ:on, と:kun"
"こく";告;"こく:on, つ:kun"
"しゅ";種;"しゅ:on, たね:kun, ぐさ:kun"
"たつ";達;"たつ:on, たち:kun"
"るい";類;"るい:on, たぐ:kun"
"ほう";報;"ほう:on, むく:kun"
"とう";等;"とう:on, ひと:kun, など:kun"
"ざ";座;"ざ:on, すわ:kun"
"ぼう";忘;"ぼう:on, わす:kun"
"せん";洗;"せん:on, あら:kun"
"きょ";許;"きょ:on, ゆる:kun"
"せい";静;"せい:on, しず:kun"
"えん";煙;"えん:on, けむ:kun, けむり:kun"
"か";加;"か:on, くわ:kun"
"よう";容;"よう:on"
"い";易;"い:on, えき:on, やさ:kun"
"さい";財;"さい:on, ざい:on"
"わか";若;"わか:kun, じゃく:on, も:kun"
"ぼう";忙;"ぼう:on, いそが:kun"
"と";徒;"と:on"
"とく";得;"とく:on, え:kun, う:kun"
"ぞく";続;"ぞく:on, つづ:kun"
"れん";連;"れん:on, つ:kun, つら:kun"
"こん";困;"こん:on, こま:kun"
"き";機;"き:on, はた:kun"
"ひ";飛;"ひ:on, と:kun"
"がい";害;"がい:on"
"よ";余;"よ:on, あま:kun"
"なん";難;"なん:on, むずか:kun"
"かく";確;"かく:on, たし:kun"
"ざい";在;"ざい:on"
"む";夢;"む:on, ゆめ:kun"
"さん";産;"さん:on, う:kun"
"とう";倒;"とう:on, たお:kun"
"さい";妻;"さい:on, つま:kun"
"ぎ";議;"ぎ:on"
"はん";犯;"はん:on, おか:kun"
"ざい";罪;"ざい:on, つみ:kun"
"ろん";論;"ろん:on"
"けい";経;"けい:on, た:kun, へ:kun"
"さい";済;"さい:on, す:kun"
"はん";判;"はん:on"
"せい";制;"せい:on"
"む";務;"む:on, つと:kun"
"し";資;"し:on"
"けん";権;"けん:on"
"けん";件;"けん:on"
"だん";断;"だん:on, ことわ:kun, た:kun"
"にん";任;"にん:on, まか:kun"
"せき";責;"せき:on, せ:kun"
"ぞう";増;"ぞう:on, ふ:kun, ま:kun"
"かい";解;"かい:on, と:kun"
"さい";際;"さい:on, きわ:kun"
"にん";認;"にん:on, みと:kun"
"か";過;"か:on, す:kun, あやま:kun"
"ね";寝;"ね:kun, しん:on"
